bin_start,bin_end,orders,ratio_to_uniform,sem_across_days,n_days
0,1,4123,1.25612,0.0165776,8
1,2,4115,1.29309,0.0816916,8
2,3,4386,1.33706,0.0761369,8
3,4,4056,1.21524,0.0656774,8
4,5,4004,1.22189,0.112373,8
5,6,3387,1.03041,0.0299015,8
6,7,3258,0.992709,0.0387602,8
7,8,3132,0.94438,0.0276032,8
8,9,3549,1.09874,0.0704734,8
9,10,3164,0.950743,0.0371658,8
10,11,3089,0.93665,0.0331953,8
11,12,6420,2.02149,0.127382,8
12,13,2922,0.891597,0.0339676,8
13,14,3480,1.07712,0.0574469,8
14,15,3089,0.943096,0.0360502,8
15,16,3159,0.961734,0.0345254,8
16,17,4046,1.23845,0.0935382,8
17,18,2892,0.876178,0.0328676,8
18,19,3323,1.03009,0.0588469,8
19,20,2767,0.852549,0.0118501,8
20,21,2897,0.874476,0.0311276,8
21,22,3660,1.12614,0.0820824,8
22,23,2981,0.892812,0.0487249,8
23,24,3109,0.924889,0.0536624,8
24,25,3527,1.08413,0.119858,8
25,26,2886,0.872906,0.034602,8
26,27,2866,0.863028,0.0312707,8
27,28,2835,0.863691,0.0226106,8
28,29,3175,0.985402,0.0576343,8
29,30,2818,0.849497,0.0269292,8
30,31,2765,0.833844,0.0298345,8
31,32,5957,1.87067,0.103254,8
32,33,2722,0.82976,0.0167765,8
33,34,3264,1.00903,0.0470128,8
34,35,2824,0.86381,0.0525051,8
35,36,3021,0.93955,0.0702229,8
36,37,3663,1.11713,0.0869931,8
37,38,2721,0.827435,0.0235284,8
38,39,3147,0.973982,0.0699586,8
39,40,2751,0.844064,0.02165,8
40,41,2667,0.808529,0.0233259,8
41,42,3409,1.05975,0.0779758,8
42,43,2954,0.882355,0.054096,8
43,44,2955,0.875074,0.0597454,8
44,45,3377,1.03442,0.127277,8
45,46,2658,0.810854,0.0346116,8
46,47,2662,0.820781,0.0294607,8
47,48,2764,0.842301,0.012074,8
48,49,3026,0.945042,0.0530561,8
49,50,2821,0.863567,0.0312335,8
50,51,2756,0.844658,0.0387795,8
51,52,5570,1.75535,0.104766,8
52,53,2477,0.760834,0.0181027,8
53,54,3014,0.935573,0.0641481,8
54,55,2588,0.790175,0.0333771,8
55,56,2755,0.835341,0.021755,8
56,57,3445,1.04117,0.0755161,8
57,58,2782,0.853125,0.0244914,8
58,59,2930,0.904349,0.0504392,8
59,60,2373,0.721172,0.0200653,8
