strategy,participation,paired_cost,penalized_cost,completion,paired_cost_bp
adaptive,0.001,8.537901483028489e-07,8.537901483028489e-07,1.0,0.00853790148302849
adaptive,0.0025,8.53790354800388e-07,8.53790354800388e-07,1.0,0.00853790354800388
adaptive,0.005,8.545481578377133e-07,8.545481578377133e-07,1.0,0.008545481578377133
adaptive,0.01,8.558718682556066e-07,8.558718682556066e-07,1.0,0.008558718682556067
adaptive,0.02,8.561700342676439e-07,8.561700342676439e-07,1.0,0.00856170034267644
adaptive,0.05,8.7012245303523e-07,8.7012245303523e-07,1.0,0.008701224530352299
adaptive,0.1,8.867991204973716e-07,8.867991204973716e-07,1.0,0.008867991204973715
adaptive,0.2,9.302268171226671e-07,9.302268171226671e-07,1.0,0.00930226817122667
frontload,0.001,8.57868567012039e-07,8.57868567012039e-07,1.0,0.008578685670120389
frontload,0.0025,8.578685670115608e-07,8.578685670115608e-07,1.0,0.008578685670115608
frontload,0.005,8.588309035050676e-07,8.588309035050676e-07,1.0,0.008588309035050675
frontload,0.01,8.668176701295283e-07,8.668176701295283e-07,1.0,0.008668176701295284
frontload,0.02,8.878070734301015e-07,8.878070734301015e-07,1.0,0.008878070734301016
frontload,0.05,9.756197598819248e-07,9.756197598819248e-07,1.0,0.009756197598819249
frontload,0.1,1.116885522617293e-06,1.116885522617293e-06,1.0,0.011168855226172931
frontload,0.2,1.4196048356180535e-06,1.4196048356180535e-06,1.0,0.014196048356180534
immediate,0.001,7.935615788685833e-07,7.935615788685833e-07,1.0,0.007935615788685834
immediate,0.0025,1.0248957251031167e-06,1.0248957251031167e-06,1.0,0.010248957251031168
immediate,0.005,1.5086325550786558e-06,1.5086325550786558e-06,1.0,0.015086325550786558
immediate,0.01,1.9102591213114794e-06,1.9102591213114794e-06,1.0,0.019102591213114795
immediate,0.02,2.8371826432910227e-06,2.8371826432910227e-06,1.0,0.028371826432910228
immediate,0.05,4.558203808378247e-06,4.558203808378249e-06,1.0,0.045582038083782465
immediate,0.1,6.725762693377559e-06,1.23347103984848e-05,0.9887821045897855,0.06725762693377559
immediate,0.2,9.196156540869925e-06,3.27956466471554e-05,0.952801019787429,0.09196156540869925
pov,0.001,7.935615788679842e-07,7.935615788679842e-07,1.0,0.007935615788679842
pov,0.0025,7.935615788814275e-07,7.935615788814275e-07,1.0,0.007935615788814276
pov,0.005,7.935615788645999e-07,7.935615788645999e-07,1.0,0.007935615788646
pov,0.01,8.443610531871262e-07,8.443610531871262e-07,1.0,0.008443610531871261
pov,0.02,8.790326523036409e-07,8.790326523036409e-07,1.0,0.008790326523036409
pov,0.05,8.626491754674823e-07,8.626491754674823e-07,1.0,0.008626491754674823
pov,0.1,9.024822975653504e-07,9.024822975653504e-07,1.0,0.009024822975653504
pov,0.2,9.814088835935232e-07,9.814088835935232e-07,1.0,0.009814088835935231
rl2,0.001,9.55043534099404e-07,9.55043534099404e-07,1.0,0.009550435340994042
rl2,0.0025,9.552224009295563e-07,9.552224009295563e-07,1.0,0.009552224009295562
rl2,0.005,9.623138768377893e-07,9.623138768377893e-07,1.0,0.009623138768377892
rl2,0.01,9.69691816362228e-07,9.69691816362228e-07,1.0,0.009696918163622281
rl2,0.02,9.73528114260281e-07,9.73528114260281e-07,1.0,0.00973528114260281
rl2,0.05,1.0288984277502358e-06,1.0288984277502358e-06,1.0,0.010288984277502359
rl2,0.1,1.2526440260607915e-06,1.2526440260607915e-06,1.0,0.012526440260607915
rl2,0.2,1.5191005940419809e-06,1.5191005940419809e-06,1.0,0.015191005940419808
twap,0.001,8.729170336435503e-07,8.729170336435503e-07,1.0,0.008729170336435504
twap,0.0025,8.729170336432016e-07,8.729170336432016e-07,1.0,0.008729170336432016
twap,0.005,8.737987439990152e-07,8.737987439990152e-07,1.0,0.008737987439990153
twap,0.01,8.792949967145777e-07,8.792949967145777e-07,1.0,0.008792949967145776
twap,0.02,8.920043317068949e-07,8.920043317068949e-07,1.0,0.008920043317068948
twap,0.05,9.292477556434474e-07,9.292477556434474e-07,1.0,0.009292477556434474
twap,0.1,1.0253192157818585e-06,1.0253192157818585e-06,1.0,0.010253192157818586
twap,0.2,1.2268181987094e-06,1.2268181987094e-06,1.0,0.012268181987094
