strategy,participation,peak_impact_causal,impact_bp
adaptive,0.001,1.5871231578502983e-06,0.015871231578502985
adaptive,0.0025,1.5871231578502983e-06,0.015871231578502985
adaptive,0.005,1.6400496347656316e-06,0.016400496347656317
adaptive,0.01,1.957480830148917e-06,0.01957480830148917
adaptive,0.02,2.274860726424051e-06,0.02274860726424051
adaptive,0.05,3.015588421416594e-06,0.03015588421416594
adaptive,0.1,4.444088491972982e-06,0.04444088491972982
adaptive,0.2,6.7980793785629336e-06,0.06798079378562934
frontload,0.001,1.5871231578502983e-06,0.015871231578502985
frontload,0.0025,1.5871231578502983e-06,0.015871231578502985
frontload,0.005,1.5871231578502983e-06,0.015871231578502985
frontload,0.01,1.7987693373132047e-06,0.01798769337313205
frontload,0.02,2.4336762378060554e-06,0.024336762378060553
frontload,0.05,3.650501550587273e-06,0.03650501550587273
frontload,0.1,5.343428842312803e-06,0.05343428842312803
frontload,0.2,7.8299624285912e-06,0.078299624285912
immediate,0.001,1.9045121818907385e-06,0.019045121818907385
immediate,0.0025,2.9097024293401545e-06,0.029097024293401545
immediate,0.005,4.126316116261325e-06,0.04126316116261325
immediate,0.01,5.845590339906205e-06,0.05845590339906205
immediate,0.02,9.072349398609853e-06,0.09072349398609852
immediate,0.05,1.5472989775346735e-05,0.15472989775346735
immediate,0.1,2.5363982380242665e-05,0.25363982380242667
immediate,0.2,3.7927385351683144e-05,0.37927385351683146
pov,0.001,1.8516349045040665e-06,0.018516349045040664
pov,0.0025,2.43352409780066e-06,0.0243352409780066
pov,0.005,3.227061118726582e-06,0.03227061118726582
pov,0.01,4.232188263585072e-06,0.042321882635850724
pov,0.02,5.97806948474576e-06,0.0597806948474576
pov,0.05,8.83456382021586e-06,0.0883456382021586
pov,0.1,1.1373985050594764e-05,0.11373985050594765
pov,0.2,1.5314736252172777e-05,0.15314736252172778
rl2,0.001,1.5871231578502983e-06,0.015871231578502985
rl2,0.0025,1.692987122734274e-06,0.01692987122734274
rl2,0.005,1.692987122734274e-06,0.01692987122734274
rl2,0.01,2.1161973434435644e-06,0.021161973434435644
rl2,0.02,2.6452352387222525e-06,0.026452352387222527
rl2,0.05,4.179411502536555e-06,0.04179411502536555
rl2,0.1,6.34838678897483e-06,0.0634838678897483
rl2,0.2,8.676427456312674e-06,0.08676427456312674
twap,0.001,1.5871231578502983e-06,0.015871231578502985
twap,0.0025,1.5871231578502983e-06,0.015871231578502985
twap,0.005,1.5871231578502983e-06,0.015871231578502985
twap,0.01,1.851781368766709e-06,0.01851781368766709
twap,0.02,2.010418318140663e-06,0.02010418318140663
twap,0.05,2.8040557900056606e-06,0.028040557900056606
twap,0.1,4.391102855493855e-06,0.04391102855493855
twap,0.2,5.978386685035384e-06,0.05978386685035384
