episode,side,duration,participation,quantity,completion,reward
0,BUY,600.0,0.12431249788550254,2.7975302545800385,1.0,-1.2003681379676927e-06
1,SELL,120.0,0.004710975135671456,0.011644138194444275,1.0,-7.936111131013455e-07
2,SELL,300.0,0.12065543763119274,1.3559168144569471,1.0,-9.835398202027232e-07
3,BUY,600.0,0.11347635333408725,1.314097258791719,1.0,-8.580222556542629e-07
4,BUY,300.0,0.0209088962810629,0.38034444949522067,1.0,-7.93553174007837e-07
5,BUY,120.0,0.08396510994057135,0.2147784423513869,1.0,-8.721721107921332e-07
6,SELL,300.0,0.012499118922750407,0.16338242470973613,1.0,-7.940648417443784e-07
7,SELL,300.0,0.0030241816420036953,0.024808549888404596,1.0,-8.748913409546895e-07
8,SELL,120.0,0.0014260340440343246,0.006381563424034162,1.0,-8.424102595443929e-07
9,SELL,600.0,0.00772303051832411,0.260464879330287,1.0,-8.406062956354903e-07
10,BUY,600.0,0.0041067404769487776,0.04940510023871591,1.0,-7.939627075552401e-07
11,SELL,300.0,0.018347015016532135,0.3174444217796361,1.0,-1.5877363301391081e-06
12,BUY,300.0,0.007333201019957949,0.057652788909503885,1.0,-1.249148617810317e-06
13,SELL,120.0,0.039275994431039594,0.1931576231430308,1.0,-8.469593321421468e-07
14,SELL,600.0,0.008884408177454787,0.1835335880731374,1.0,-8.453983541172091e-07
15,BUY,600.0,0.018573031128642017,0.625985043801478,1.0,-1.1361567493842943e-06
16,SELL,120.0,0.1999945536190399,0.7159949144472586,1.0,-1.6935887378412055e-06
17,BUY,600.0,0.07163082042437979,1.9033272232909881,1.0,-8.154197707733775e-07
18,SELL,120.0,0.0689756559621739,0.20770071939142104,1.0,-1.935733015122403e-06
19,SELL,120.0,0.0026485794751171543,0.0044677911213385395,1.0,-7.940005319955597e-07
20,BUY,300.0,0.012244676045969452,0.09394898251629556,1.0,-9.033613027828746e-07
21,SELL,600.0,0.004062131464742902,0.18559743349165345,1.0,-1.0328472584271646e-06
22,SELL,300.0,0.15888045886630708,1.0206154045841263,1.0,-1.1957995780520089e-06
23,SELL,600.0,0.16940033738845825,6.744928597062708,1.0,-2.349392895210183e-06
24,BUY,300.0,0.04612366594595277,0.39508574964330606,1.0,-1.011644326203699e-06
25,SELL,300.0,0.0012044056413588297,0.029371231695196207,1.0,-9.005820274596625e-07
26,SELL,120.0,0.0016969572660163132,0.0022210909114841314,1.0,-7.942830681908732e-07
27,SELL,600.0,0.004674609165537519,0.0640274081737515,1.0,-7.939677506036984e-07
28,SELL,120.0,0.008994434989372049,0.1162590638768959,1.0,-1.0625478359883527e-06
29,BUY,300.0,0.0023895296654713972,0.02203127754940781,1.0,-7.934952433834891e-07
30,SELL,300.0,0.0028288844376251013,0.02832502064903937,1.0,-7.936577224086609e-07
31,SELL,120.0,0.04312890350676421,0.3773991863537423,1.0,-1.7844863315464757e-06
32,SELL,600.0,0.004767519256683176,0.10310627973693887,1.0,-8.913723270094964e-07
33,SELL,600.0,0.004099906085411606,0.1252684307855211,1.0,-8.773145223792302e-07
34,BUY,300.0,0.002343454142664911,0.017091049492560472,1.0,-7.576668604103208e-07
35,BUY,120.0,0.0012557312117516515,0.00961598909784919,1.0,-7.93500280453938e-07
36,SELL,300.0,0.1283730270528391,2.356651424930594,1.0,-1.0275806399626164e-06
37,SELL,600.0,0.02184988574598994,0.6823794787226468,1.0,-9.787058253116996e-07
38,SELL,300.0,0.17633614099416645,1.6558885259307168,1.0,-1.510898534211281e-06
39,SELL,120.0,0.001159023202908614,0.011870079891445439,1.0,-7.938530371431515e-07
40,SELL,300.0,0.02152052632330671,0.3849913340194018,1.0,-8.761001963452756e-07
41,SELL,120.0,0.004080774526112309,0.06304030678130226,1.0,-1.4340887713728205e-06
42,SELL,300.0,0.001991699631043063,0.02686076656909927,1.0,-7.936589822420548e-07
43,SELL,600.0,0.004750615942003443,0.1266999497442011,1.0,-7.939047171485094e-07
44,SELL,300.0,0.002939442402667206,0.035094570924196114,1.0,-1.0770209371274349e-06
45,SELL,600.0,0.03447285518816038,1.348095569248214,1.0,-9.490410874183428e-07
46,BUY,300.0,0.01710840441212618,0.08844359294314699,1.0,-7.93873204127074e-07
