number,value,params_large_order_multiplier,params_large_order_pareto,params_large_order_probability,params_market_maker_asymmetric_liquidity,params_market_maker_flow_response,params_market_maker_flow_signal_decay,params_market_maker_inventory_signal_decay,params_market_maker_inventory_skew,params_market_maker_level_spacing_ticks,params_market_maker_queue_imbalance_response,params_market_maker_quote_size,params_market_maker_quote_size_sigma,params_market_maker_refresh_seconds,params_market_maker_spread_sensitivity,params_market_order_arrival_rate,params_order_flow_burst_interval_seconds,params_order_flow_burst_probability,params_order_flow_hawkes_branching,params_order_flow_hawkes_decay,params_order_flow_long_memory_exponent,params_order_flow_long_memory_probability,params_reference_price_volatility,params_sign_regime_switch_probability,params_trade_sign_persistence,params_trade_size_median,params_trade_size_sigma,user_attrs_loss_std,user_attrs_metric_distances,user_attrs_seed_losses,state
0,6.59411298839423,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,"{'arrival_clustering': 1.241588658318516, 'trade_size_tail_p99_to_median': 0.22330119313882557, 'trade_size_tail_top_1pct_volume_share': 0.023204342458217796, 'spread_one_tick_share': 0.017079006276411627, 'ofi_slope': 2.4964655451679407, 'ofi_r2': 0.1808069469039833, 'sign_memory_exponent': 1.197381597023192, 'response_monotone_fraction': 0.6428571348214287, 'depth_shape_bid': 0.10714285580357147, 'depth_shape_ask': 0.46428570848214296}",[6.59411298839423],COMPLETE
1,,186.59797581250956,1.3096804192305378,0.01735771773860885,0.6781859427265247,0.23014506749481858,3.2972893494324724,0.2378707032658764,0.7070133767516843,3.0,-1.7362546123763796,0.0988123371238192,0.6295023681629939,0.41058758023264674,0.0009023023780308715,0.2881541446869786,0.01588904645993247,0.06618449790772621,0.9200777002481874,0.005388438878628664,0.7564256244816588,0.5700387389518522,21.012571432242307,0.1566984267994904,0.8993813222152263,0.001183795999580618,2.751680695489907,,,,PRUNED
2,,38.9451673375556,1.8815844667356376,0.0227513284415714,0.5555266244820528,0.5507762127851117,0.25405440895770304,0.5214161223700918,0.05278507837690902,5.0,-0.8958038066772196,0.3242069080849436,0.7854246172489487,0.49449040228855085,0.08775201700865928,0.511706290336883,0.006698594032574037,0.5175606796308769,0.8938539614986032,0.003742232881577944,0.5774270018214864,0.738379665845257,6.376959811558256,0.040727363544669264,0.8925942675934679,0.0010752518792728882,2.5585770340775884,,,,PRUNED
3,3.9869271792159875,15.536192822283041,1.7198962329234988,0.015603106403849105,0.7084859944326034,8.306101219982402,3.882097618895201,0.5658391446455379,0.05136641924712411,4.0,-1.0595183709701428,0.6156064232343306,1.7287493168046815,0.11168117861154331,0.6286278478779036,0.5671899343169193,0.004144453913207415,0.13522191752614404,0.6277978364926502,0.22707765968962726,0.25099881639393073,0.5528667642607935,16.751520376485388,0.02383935187701281,0.8402684262365194,0.001670411786538231,2.786518395147796,0.0,"{'arrival_clustering': 1.149375719106821, 'trade_size_tail_p99_to_median': 0.3794705563562384, 'trade_size_tail_top_1pct_volume_share': 0.3336373062932264, 'spread_one_tick_share': 0.0370034747988201, 'ofi_slope': 0.8885201362287554, 'ofi_r2': 0.8774914190214119, 'response_monotone_fraction': 0.10714285580357147, 'depth_shape_bid': 0.10714285580357147, 'depth_shape_ask': 0.10714285580357147}",[3.9869271792159875],COMPLETE
4,,136.86328142619521,1.8840244244037236,0.01199797759388061,0.7136467491363664,0.062018354813888774,2.8204178466105416,1.3253873653051238,0.35727969427443323,4.0,1.7564454149287414,0.3699076256994576,0.937008473861243,0.63285143322067,0.0017306386956042446,0.4122130848362215,0.001969224107772385,0.5162074509788994,0.7452489553724873,0.0016593992681982657,0.5404312408012764,0.3708160223400248,14.962531140963192,0.07721809862540849,0.7890963479931491,0.0019060982963666152,3.1945860511738227,,,,PRUNED
5,5.25067926870173,230.77394505238172,1.5848042567291216,0.0243146380084198,0.8622938813837236,1.643286350389197,0.09202757580483528,0.08449602354566622,1.4693707025757112,4.0,-1.0782773023591221,0.09413278872736841,1.0663074113523514,0.5599738997201413,0.0010074586457026195,0.5499272187717232,0.05175487359646688,0.5584495983604558,0.3702045227017089,0.04917320427571119,0.7823605839861981,0.8494961540637884,3.068896666739809,0.011071491291849775,0.8874770951238408,0.0009328471030017831,2.694704327057221,0.0,"{'arrival_clustering': 1.2685969019509633, 'trade_size_tail_p99_to_median': 0.2572004193736386, 'trade_size_tail_top_1pct_volume_share': 0.5474818672549567, 'spread_one_tick_share': 0.024590163682477854, 'ofi_slope': 1.1384709716741577, 'ofi_r2': 0.4903489417285263, 'sign_memory_exponent': 1.0597042945548665, 'response_monotone_fraction': 0.24999999687499996, 'depth_shape_bid': 0.10714285580357147, 'depth_shape_ask': 0.10714285580357147}",[5.25067926870173],COMPLETE
6,2.3397898819711194,15.42131570489419,1.696146561376691,0.013957497804384373,0.5424249715680859,3.613308599411794,0.06144726057079913,0.0578289881063062,0.02393414802294536,5.0,-0.873864728606025,0.13101006580460156,1.2639503406476176,0.3136471302054519,0.00010883943768604244,0.33455053168269167,0.0011127067848110308,0.14716609716074974,0.664831902061179,0.16321864388455776,0.3882730226270098,0.9137031985454195,2.3486479213615685,0.07622946140539597,0.9216412139417761,0.0017038532143661713,3.26801773814596,0.0,"{'arrival_clustering': 1.0502846728512194, 'trade_size_tail_p99_to_median': 0.6710825725135795, 'trade_size_tail_top_1pct_volume_share': 0.09711687671123428, 'spread_one_tick_share': 0.024590163682477854, 'ofi_slope': 0.05171117979637471, 'ofi_r2': 0.15929013427337652, 'response_monotone_fraction': 0.07142857053571418, 'depth_shape_bid': 0.10714285580357147, 'depth_shape_ask': 0.10714285580357147}",[2.3397898819711194],COMPLETE
7,4.449942325186145,55.96111859289454,1.6682355697755824,0.016588394891900934,0.0456588999984347,0.21720037938460307,0.08714347234004732,0.055140817453195816,1.018453777752388,5.0,-0.9136191189617446,0.3068264534097226,1.4343077513018916,0.35525239975401945,1.1950183198604336,0.5451729271531676,0.005266971732953327,0.09637079671718474,0.6008597256065396,0.0037683963704581774,0.41912204165769484,0.9745671349960273,10.933744556278219,0.011586986040751864,0.9363521204811692,0.002132657745944874,3.3899194066550846,0.0,"{'arrival_clustering': 1.216912089897918, 'trade_size_tail_p99_to_median': 0.22471996833521327, 'trade_size_tail_top_1pct_volume_share': 0.32407996636526026, 'spread_one_tick_share': 0.9605693444175812, 'ofi_slope': 0.4081951094440225, 'ofi_r2': 0.6346768257153075, 'sign_memory_exponent': 0.0022176009215560226, 'response_monotone_fraction': 0.46428570848214296, 'depth_shape_bid': 0.10714285580357147, 'depth_shape_ask': 0.10714285580357147}",[4.449942325186145],COMPLETE
8,4.577752103337674,87.08268900358141,2.4384951342237198,0.010052238379357205,0.8934316695305612,6.636017668391618,0.2910665392459993,0.1549900272053754,0.1091303117368526,2.0,0.0072275644736938816,0.9062628017572758,0.37100279081062626,0.16222692518191859,0.08141479963517487,0.6185440297761453,0.030877870919047583,0.09008246461041461,0.9177655563034567,0.08259622838472194,0.4981577126319242,0.3905309998406944,13.361505235988503,0.0667564200147129,0.756846554442409,0.0006061397332841545,3.378063807713402,0.0,"{'arrival_clustering': 0.08263864686134235, 'trade_size_tail_p99_to_median': 0.424513162859868, 'trade_size_tail_top_1pct_volume_share': 0.7256624348512951, 'spread_one_tick_share': 0.0014470016116660729, 'ofi_slope': 0.8156225267463093, 'ofi_r2': 0.12347423352475878, 'sign_memory_exponent': 1.2496322065550534, 'response_monotone_fraction': 0.5833333260416668, 'depth_shape_bid': 0.10714285580357147, 'depth_shape_ask': 0.46428570848214296}",[4.577752103337674],COMPLETE
9,3.9348474331305225,125.30576445310938,1.3340748950976962,0.00877663300899572,0.6934139131960915,1.1762426120008553,0.07634484341083347,0.17620831505928597,0.027080863350967987,4.0,-1.0144254228571166,1.4508507965272766,1.509991988197278,0.4867747156552143,1.0227147056881611,0.5782251432693011,0.023431930693089593,0.11806234732260844,0.8401363966054689,0.09988696020280997,0.9187684162746153,0.9606371648368816,6.151048235356105,0.07369382991934618,0.753793972609515,0.0013229061115107963,2.0594428608003414,0.0,"{'arrival_clustering': 0.341458903575439, 'trade_size_tail_p99_to_median': 0.743352619144716, 'trade_size_tail_top_1pct_volume_share': 0.11936613479954378, 'spread_one_tick_share': 0.9235504405925696, 'ofi_slope': 0.8828569113685343, 'ofi_r2': 0.6519409984823095, 'response_monotone_fraction': 0.09374999882812494, 'depth_shape_bid': 0.10714285580357147, 'depth_shape_ask': 0.07142857053571418}",[3.9348474331305225],COMPLETE
10,7.350696766978441,68.60145163589009,1.7072168448890226,0.027036069434774032,0.0858803397002515,0.8863019906124082,0.4113085653621476,0.17826919607465905,0.30693759837046247,5.0,1.0162127879326994,0.2750087384936663,1.6277399316083714,0.122947512172746,1.0201538239599381,0.6636381644897986,0.0011763774004594843,0.26314221454283965,0.8021111112217505,0.06083304947750771,0.6092703798906173,0.4612421524522584,8.172544234399876,0.10432771045969705,0.8535622352407337,0.0006735062723699955,3.270359840689961,0.0,"{'arrival_clustering': 2.0764260323820105, 'trade_size_tail_p99_to_median': 0.8416743611853673, 'trade_size_tail_top_1pct_volume_share': 0.29701042242008296, 'spread_one_tick_share': 0.33520240402706775, 'ofi_slope': 0.8728359761631612, 'ofi_r2': 0.9536137220855119, 'sign_memory_exponent': 1.6525052813045245, 'response_monotone_fraction': 0.10714285580357147, 'depth_shape_bid': 0.10714285580357147, 'depth_shape_ask': 0.10714285580357147}",[7.350696766978441],COMPLETE
11,4.49153664237268,200.17912670245562,1.7485398116952877,0.0032087581967306014,1.3493636682919872,0.4280583772735188,0.1044809053553571,0.13639910046575798,0.013708389117136361,4.0,1.873652804867398,0.2088022697804389,1.6223817550145747,0.19822633359460493,0.0021589443713390393,0.7426098276897732,0.0018609266817535576,0.5556090432687328,0.9268362280627541,0.04830373268376702,0.7628353366164566,0.28839927208251565,3.0338535087802825,0.06563123489342264,0.7466142316401402,0.0008286365389284178,3.3147982347343583,0.0,"{'arrival_clustering': 0.5812155706227412, 'trade_size_tail_p99_to_median': 0.7440578967382177, 'trade_size_tail_top_1pct_volume_share': 0.41502197697986815, 'spread_one_tick_share': 0.024590163682477854, 'ofi_slope': 0.71096209379889, 'ofi_r2': 0.07007818209756954, 'sign_memory_exponent': 0.9396583900749398, 'response_monotone_fraction': 0.7916666567708335, 'depth_shape_bid': 0.10714285580357147, 'depth_shape_ask': 0.10714285580357147}",[4.49153664237268],COMPLETE
12,5.767802001268309,36.076308337473854,2.67723350236642,0.019062825949249476,1.4988124520959873,7.205205427655283,0.43490599450461537,0.1204745438258306,0.018748683384729792,1.0,1.0522882911243352,0.09182010940162699,1.7174852736939499,0.28779769305040925,0.00010598873573904399,0.6157106394500533,0.011970530605546535,0.3031411376198488,0.8850400625325314,0.4114141107016467,0.324241452614391,0.31758471629581875,2.2564873906828242,0.032383742603663015,0.8404528434039421,0.0005535028673819392,2.079133689686755,0.0,"{'arrival_clustering': 1.6036299210869622, 'trade_size_tail_p99_to_median': 0.8630902946875274, 'trade_size_tail_top_1pct_volume_share': 0.2656850437806666, 'spread_one_tick_share': 0.024590163682477854, 'ofi_slope': 0.6860965360902344, 'ofi_r2': 0.7617633194602025, 'sign_memory_exponent': 0.5272324497123805, 'response_monotone_fraction': 0.28571428214285727, 'depth_shape_bid': 0.46428570848214296, 'depth_shape_ask': 0.28571428214285727}",[5.767802001268309],COMPLETE
