duration,side,participation,peak_observed,peak_causal,shortfall,completion,peak_causal_std
120.0,BUY,0.001,0.00014629702279407396,1.5874556432297113e-06,7.5907232472711e-05,0.9462872936107495,4.405586558898938e-10
120.0,BUY,0.0025,0.0001469319183124442,1.5874556432297113e-06,7.590723247268794e-05,0.9462872936107495,4.405586558898938e-10
120.0,BUY,0.005,0.0001469319183124442,1.5874556432297113e-06,7.590723247268794e-05,0.9462872936107495,4.405586558898938e-10
120.0,BUY,0.01,0.0001472494423866949,1.5874556432297113e-06,7.590723247268794e-05,0.9462872936107495,4.405586558898938e-10
120.0,BUY,0.02,0.00014756695436282202,1.9049797174803947e-06,7.590723247268794e-05,0.9462872936107495,7.100976311058671e-07
120.0,BUY,0.05,0.00014883689802983217,2.5398752358968123e-06,7.59072324726417e-05,0.9462872936107495,8.693138040282641e-07
120.0,BUY,0.1,0.000150106829598765,3.809806804783429e-06,7.59072324726417e-05,0.9462872936107495,1.4196409729678382e-06
120.0,BUY,0.2,0.0001513767732656828,5.079750471701213e-06,7.5910774618055e-05,0.9462872936107495,1.738627607972101e-06
120.0,SELL,0.001,-0.00014597949871977708,1.5874556432297113e-06,-7.431977682959677e-05,0.9462872936107495,4.405586558898938e-10
120.0,SELL,0.0025,-0.0001456619746454802,1.5874556432297113e-06,-7.431977682968922e-05,0.9462872936107495,4.405586558898938e-10
120.0,SELL,0.005,-0.00014534446266930686,1.5874556432297113e-06,-7.431977682968922e-05,0.9462872936107495,4.405586558898938e-10
120.0,SELL,0.01,-0.00014470956715084427,1.9050145047217105e-06,-7.431977682968922e-05,0.9462872936107495,7.102726317438456e-07
120.0,SELL,0.02,-0.00014470956715084427,1.9050145047217105e-06,-7.431977682968922e-05,0.9462872936107495,7.102726317438456e-07
120.0,SELL,0.05,-0.0001437571475582234,2.539875235943023e-06,-7.431977682952752e-05,0.9462872936107495,8.693138040705055e-07
120.0,SELL,0.1,-0.00014248702857196427,3.809994222155899e-06,-7.431941695920046e-05,0.9462872936107495,8.700829927620111e-07
120.0,SELL,0.2,-0.00014121709700307765,5.079925791042545e-06,-7.42476675021529e-05,0.9462872936107495,1.3286443149114906e-06
300.0,BUY,0.001,-5.7011201875533515e-05,1.5872746469303515e-06,-0.0001278678136253174,1.0,1.0175162404772917e-09
300.0,BUY,0.0025,-5.6059227030633835e-05,1.5872746469303515e-06,-0.0001278678136254561,1.0,1.0175162404772917e-09
300.0,BUY,0.005,-5.574155215659979e-05,1.5872746469303515e-06,-0.0001278678136254561,1.0,1.0175162404772917e-09
300.0,BUY,0.01,-5.542392722878793e-05,2.2225744487993503e-06,-0.00012784574118036846,1.0,8.708101532800034e-07
300.0,BUY,0.02,-5.510625235470767e-05,2.5402493228564945e-06,-0.00012782794598557666,1.0,1.4215097418243752e-06
300.0,BUY,0.05,-5.3518977707823513e-05,4.1275239696483155e-06,-0.00012779609762375203,1.0,1.4223623912106982e-06
300.0,BUY,0.1,-5.224856664816039e-05,5.3979350293576354e-06,-0.0001276823484744396,1.0,2.65968000371232e-06
300.0,BUY,0.2,-4.811994295494883e-05,9.208883848488945e-06,-0.00012729297073365577,1.0,6.685025595138795e-06
300.0,SELL,0.001,5.764650167747185e-05,1.5872746469303515e-06,0.00012969147838591392,1.0,1.0175162404772917e-09
300.0,SELL,0.0025,5.764650167747185e-05,1.5872746469303515e-06,0.00012969147838598325,1.0,1.0175162404772917e-09
300.0,SELL,0.005,5.796417655150588e-05,2.2225744487762364e-06,0.0001297011937752335,1.0,8.708101532483452e-07
300.0,SELL,0.01,5.9233776324355976e-05,2.2225744488455703e-06,0.00012973535281754798,1.0,8.708101533432768e-07
300.0,SELL,0.02,5.955145119843624e-05,2.540249322902715e-06,0.00012977078143794704,1.0,1.4215097418502245e-06
300.0,SELL,0.05,6.082135897470728e-05,4.127523969740663e-06,0.00013002794789549856,1.0,1.422362391133235e-06
300.0,SELL,0.1,6.240887211184229e-05,6.032781494079821e-06,0.0001302880632031884,1.0,3.0571514143712934e-06
300.0,SELL,0.2,6.590190756655009e-05,8.890705691016573e-06,0.0001305467457274817,1.0,5.1004060251802135e-06
600.0,BUY,0.001,0.00024274603941333412,1.5866391833908321e-06,0.00011452098179970953,1.0,6.402199997511956e-10
600.0,BUY,0.0025,0.00024338082861956531,1.903902847757033e-06,0.00011452098179975568,1.0,7.092440195246146e-07
600.0,BUY,0.005,0.00024369824434764564,1.903902847757033e-06,0.00011452098179975568,1.0,7.092440195246146e-07
600.0,BUY,0.01,0.00024401550801201184,3.173371446365491e-06,0.00011452420229122963,1.0,1.1218615604911551e-06
600.0,BUY,0.02,0.00024401550801201184,3.8078056953986215e-06,0.00011455064507315275,1.0,1.418488038984702e-06
600.0,BUY,0.05,0.0002452849766105972,7.298244070072903e-06,0.00011485582432668623,1.0,4.285880276484116e-06
600.0,BUY,0.1,0.0002462369503705319,1.1423361837170636e-05,0.00011533110254568859,1.0,7.557896573175095e-06
600.0,BUY,0.2,0.0002484584234323125,1.6183220402958865e-05,0.00011598547804307275,1.0,9.344275129999453e-06
600.0,SELL,0.001,-0.00024242877574901406,1.5866391833908321e-06,-0.00011277779918552598,1.0,6.402199997511956e-10
600.0,SELL,0.0025,-0.00024211136002088755,1.5866391833908321e-06,-0.00011277779918557217,1.0,6.402199997511956e-10
600.0,SELL,0.005,-0.00024179406565344555,2.2211972151528735e-06,-0.00011277779918557217,1.0,8.686817473113534e-07
600.0,SELL,0.01,-0.00024147657081470254,2.538367799819817e-06,-0.00011277779918557217,1.0,8.682238051043566e-07
600.0,SELL,0.02,-0.00024115930715033637,3.8078363983589915e-06,-0.00011277779918557217,1.0,8.684595377810691e-07
600.0,SELL,0.05,-0.00024020710221602488,5.71173924602365e-06,-0.0001127373858583278,1.0,1.4181861135713156e-06
600.0,SELL,0.1,-0.00023893763361734714,7.615549013942901e-06,-0.00011264044642388484,1.0,1.3252850606791324e-06
600.0,SELL,0.2,-0.00023735074929068147,1.3327740032246003e-05,-0.00011225918753065519,1.0,4.286891443100483e-06
