duration,side,participation,peak_observed,peak_causal,shortfall,completion,peak_causal_std
120.0,BUY,0.001,0.00014629702279407396,1.5874556432297113e-06,5.759627631424747e-05,1.0,4.405586558898938e-10
120.0,BUY,0.0025,0.00014629702279407396,1.5874556432297113e-06,5.759627631415508e-05,1.0,4.405586558898938e-10
120.0,BUY,0.005,0.00014629702279407396,1.5874556432297113e-06,5.759627631415508e-05,1.0,4.405586558898938e-10
120.0,BUY,0.01,0.0001472494423866949,1.5874556432297113e-06,5.759627631415508e-05,1.0,4.405586558898938e-10
120.0,BUY,0.02,0.0001472494423866949,1.5874556432297113e-06,5.759627631415508e-05,1.0,4.405586558898938e-10
120.0,BUY,0.05,0.00014756695436282202,2.2225385789723937e-06,5.759627631420125e-05,1.0,8.698529785119975e-07
120.0,BUY,0.1,0.00014883689802983217,3.4924353606639275e-06,5.759627631420125e-05,1.0,7.101901090421174e-07
120.0,BUY,0.2,0.00014915442210412908,4.127518296452788e-06,5.7626265378276436e-05,1.0,1.4204040084765466e-06
120.0,SELL,0.001,-0.00014629702279407396,1.5874556432297113e-06,-5.600882067129498e-05,1.0,4.405586558898938e-10
120.0,SELL,0.0025,-0.0001456619746454802,1.5874556432297113e-06,-5.600882067111018e-05,1.0,4.405586558898938e-10
120.0,SELL,0.005,-0.0001456619746454802,1.5874556432297113e-06,-5.600882067111018e-05,1.0,4.405586558898938e-10
120.0,SELL,0.01,-0.0001456619746454802,1.9050145047217105e-06,-5.600882067111018e-05,1.0,7.102726317438456e-07
120.0,SELL,0.02,-0.00014470956715084427,1.9050145047217105e-06,-5.600882067111018e-05,1.0,7.102726317438456e-07
120.0,SELL,0.05,-0.00014439204307659358,2.2225385790648105e-06,-5.6008820671017745e-05,1.0,8.698529786385443e-07
120.0,SELL,0.1,-0.0001440745190023429,3.4924822459825666e-06,-5.595800841049275e-05,1.0,1.3285572252402406e-06
120.0,SELL,0.2,-0.00014280458743350246,5.079937889119922e-06,-5.585700806855743e-05,1.0,2.070246507217657e-06
300.0,BUY,0.001,-5.7011201875533515e-05,1.5872746469303515e-06,-0.00011670447321489225,1.0,1.0175162404772917e-09
300.0,BUY,0.0025,-5.7011201875533515e-05,1.5872746469303515e-06,-0.00011670447321461509,1.0,1.0175162404772917e-09
300.0,BUY,0.005,-5.7011201875533515e-05,1.5872746469303515e-06,-0.00011670447321461509,1.0,1.0175162404772917e-09
300.0,BUY,0.01,-5.574155215659979e-05,1.9049495209874958e-06,-0.00011669771381571941,1.0,7.109578395820905e-07
